   1.00,  -0.40,    528,     10
   1.05,  -0.38,    524,      0
   1.10,  -0.35,    596,     10
   1.15,  -0.31,    582,      0
   1.20,  -0.30,    596,      0
   1.25,  -0.25,    528,      0
   1.30,  -0.19,    596,      0
   1.35,  -0.15,    528,      0
   1.40,  -0.11,    530,      0
   1.45,  -0.09,    550,      0
   1.55, -10.33,   1399,    639
   1.60, -21.42,   1387,    460
   1.65, -22.93,   1255,    533
   1.70, -18.54,   1200,    417
   1.75, -23.74,    997,    408
   1.80, -24.10,    937,    380
   1.85, -25.14,    876,    368
   1.90, -25.65,    766,    354
   1.95, -25.01,    714,    335
   2.00, -26.14,    671,    328
   2.05, -28.52,    598,    352
   2.10, -31.75,    563,    327
   2.15, -31.24,    530,    326
   2.20, -28.07,    512,    316
   2.25, -25.03,    464,    276
   2.30, -26.14,    432,    212
   2.35, -25.92,    381,    263
   2.40, -25.27,    369,    258
   2.45, -23.09,    344,    192
   2.50, -24.02,    320,    190
   2.55, -24.31,    244,    188
   2.60, -24.57,    215,    179
   2.65, -24.73,    204,    174
   2.70, -19.36,    256,    168
   2.75, -12.63,    256,    146
   2.80,  -9.44,    200,    128
   2.85,  -6.13,    256,    100
   2.90,  -4.70,    256,     80
   2.95,  -2.67,    256,     60
   3.00,  -2.17,    256,     50
   3.05,  -1.59,    256,     40
   3.10,  -1.14,    256,     20
   3.15,  -0.94,    499,    390
   3.20,  -0.89,    499,    460
   3.25,  -0.90,    462,    440
   3.30,  -0.90,    498,    480
   3.35,  -0.92,    487,    280
   3.40,  -0.88,    421,    320
   3.45,  -0.89,    494,    286
   3.50,  -0.84,    492,    285
   3.55,  -0.80,    208,    155
   3.60,  -0.89,    218,    152
   3.65,  -1.00,    432,    184
   3.70,  -1.11,    399,    230
   3.75,  -1.41,    260,    160
   3.80,  -1.35,    215,    176
   3.85,  -1.25,    206,    195
   3.90,  -1.69,    201,    185
   3.95,  -1.44,    432,    270
   4.00,  -1.44,    369,    280
